image_idx,ring_idx,B_g,r_guess,mu_left,mu_center,mu_right,fsr_local,frac_shift,delta_wn_cm_inv,model,success,note
0,17,6000.0,677.4663194026697,668.5897194222307,678.3097374397223,686.1187685010923,51101.915351999865,0.23234698160319522,0.14324721430529913,triplet,True,ok
1,17,6700.0,681.5748392658818,673.8143740622679,682.5642089689079,689.542758225275,50688.436224999896,0.2115216637657685,0.13040793080503607,triplet,True,ok
2,17,7300.0,672.3533660486872,662.801246914867,673.0203528824284,681.5531778242487,50726.416976000066,0.24848237657270975,0.1531950533740504,triplet,True,ok
3,17,8050.000000000001,680.6670579868692,669.872607853098,677.6780392056188,683.788357575452,50588.41630000004,0.1861810329474948,0.11478485385172305,triplet,True,ok
4,17,9300.0,665.2538744705381,647.3059531145707,665.2313488225186,677.8153207627279,49710.7567495,0.4066384698873403,0.2507018926555735,triplet,True,ok
0,18,6000.0,714.1866207630887,704.4193694974797,714.008071570422,720.7901143454769,51706.42884800007,0.22561740710740738,0.139098278118007,triplet,True,ok
1,18,6700.0,717.7971146119999,706.6574357249186,714.4428353706145,720.2978229574909,49171.407525000046,0.1979221591540501,0.12202352598893347,triplet,True,ok
2,18,7300.0,709.0736674091064,703.9556069126395,710.380068698406,716.4322944984262,52037.42051200004,0.1702787717201546,0.10498074705311627,triplet,True,ok
3,18,8050.000000000001,716.8654407407989,707.3160926222135,715.8767712789919,721.882168081486,49763.71698799991,0.2091665471521261,0.12895594768935023,triplet,True,ok
4,18,9300.0,701.6220309023673,701.0599883254652,709.0434063685009,713.7470973066913,50266.67273250013,0.17854585063097497,0.1100775897848181,triplet,True,ok
0,19,6000.0,749.5124802996945,740.4776405335737,748.6121821785083,754.780596262188,49105.59487199993,0.21776146302150257,0.13425490938440354,triplet,True,ok
1,19,6700.0,751.2683310710711,742.5039751616266,751.8340638423861,769.1502138368761,51412.05218749994,0.3917359510139162,0.24151414982362276,triplet,True,ok
2,19,7300.0,744.8643408869833,735.5274089783048,741.7938699716435,746.5667978566555,50976.17308800004,0.1604809984005387,0.09894019630119524,triplet,True,ok
3,19,8050.000000000001,750.7727866115686,740.5625269032408,746.0661696734256,752.6250851552753,49907.74543200026,0.18044957146194002,0.11125127710353884,triplet,True,ok
4,19,9300.0,736.5732461745149,728.5924665527905,736.1537499365527,747.0957106767496,49798.20420749998,0.2741566591472196,0.16902383424612796,triplet,True,ok
0,20,6000.0,781.5846422474024,773.8685261211058,778.9536400737381,784.110949132725,51919.45611999999,0.15367538512044573,0.09474438046883213,triplet,True,ok
1,20,6700.0,784.7395475301423,776.1032984952109,782.1475994152845,787.5932655586926,49906.37597499997,0.18000527655283094,0.11097735915710907,triplet,True,ok
2,20,7300.0,778.3309446585046,770.0196159874429,776.4289599716152,780.5986838672841,49448.25334399997,0.16587134166062112,0.10226346588201055,triplet,True,ok
3,20,8050.000000000001,783.3055103524423,774.0562566547071,778.6385704529615,784.9165456777502,51277.065420000115,0.16509227930378118,0.10178315616755929,triplet,True,ok
4,20,9300.0,769.6352065670869,762.6430342904698,769.2710567120904,778.4621642535503,48954.96086249978,0.2489935952662713,0.15351023136021658,triplet,True,ok
0,21,6000.0,814.1216181363814,809.291156776432,815.9444747944162,821.2909269491855,50891.91280800023,0.19223693090821542,0.11851845308767904,triplet,True,ok
1,21,6700.0,815.9182149166744,805.5403343810453,810.9054627540678,817.2114296863892,51074.00033750001,0.18541029065859344,0.11430967364894785,triplet,True,ok
2,21,7300.0,809.4734787236702,803.9736366635365,811.0949674568376,819.8330807551032,51387.9682,0.2505710261805161,0.15448275350216772,triplet,True,ok
3,21,8050.000000000001,815.3800267166839,806.8119300535852,811.0514083742081,816.7551587426227,50231.4944999998,0.1606910068731447,0.09906967131513236,triplet,True,ok
4,21,9300.0,800.8079120800833,794.1802186452595,799.8609080692611,806.7632099824306,50112.747360000154,0.20099334355995221,0.12391698123301616,triplet,True,ok
0,22,6000.0,844.7993382602759,840.5240955468154,845.9633511513324,852.2997395981994,51960.505999999936,0.19181963821105208,0.11826118262087057,triplet,True,ok
1,22,6700.0,846.6383724886987,840.8154242920394,847.0183391667997,852.651072347046,51353.187437500106,0.19515121112549255,0.120315173320279,triplet,True,ok
2,22,7300.0,840.6160127888357,836.550935600112,840.7288792003959,844.265189450589,54138.31015999999,0.11975108039294026,0.07382927274533924,triplet,True,ok
3,22,8050.000000000001,845.6217135743973,836.8541862803884,842.1187545986637,848.2602666704057,51258.16956000007,0.1874876832486018,0.11559043356880505,triplet,True,ok
4,22,9300.0,831.5083038731859,824.4356007959129,830.9635060458891,837.5544967133822,51997.775472499896,0.2096577681156776,0.12925879661879014,triplet,True,ok
0,23,6000.0,875.0122444428993,857.3493146745965,865.8388708545913,875.57080591627,52944.83891199995,0.29820082040810253,0.1838476081430965,triplet,True,ok
1,23,6700.0,876.4415104317073,858.5596276659068,872.2372994586651,878.7543190602215,53129.64149999991,0.33017839024166207,0.20356250939683235,triplet,True,ok
