image_idx,ring_idx,B_g,r_guess,mu_left,mu_center,mu_right,fsr_local,frac_shift,delta_wn_cm_inv,model,success,note
2,8,7350.0,308.8688639746648,295.40368188534774,306.2658184245108,315.8661669325741,24675.29892000003,0.25345387267261993,0.15626009412615285,triplet,True,ok
3,8,8050.000000000001,326.47275585031593,320.2840157979477,327.9838737473439,336.1286905582499,25278.461599999995,0.2057214953449485,0.1268319946639633,triplet,True,ok
4,8,9300.0,302.04462387213994,289.34061182054984,303.4896409203658,319.9925452022022,26187.390547499977,0.3566074921137263,0.21985665358429485,triplet,True,ok
0,9,5970.0,356.744699925591,352.9682330733281,357.76978695917245,362.85268885928076,26452.542671999996,0.1337395111924747,0.0824534594281595,triplet,True,ok
1,9,6150.0,364.74455744097475,359.4991299927599,363.8064946323958,368.9563050274323,25537.21039999998,0.13488416404996953,0.08315916402587517,triplet,True,ok
2,9,7350.0,346.51879321762624,340.50909467330223,346.1203378793891,352.77116678397334,26440.875863999987,0.16075588045228986,0.09910966735652889,triplet,True,ok
3,9,8050.000000000001,363.1293459808777,360.66573580198497,368.5516696527397,380.9994336695266,25775.212763999996,0.29254453906925604,0.18036038167031815,triplet,True,ok
4,9,9300.0,342.6636037830141,345.29197379551,354.4195795444959,360.61152513881854,24462.08789400007,0.22103846863370205,0.1362752580972269,triplet,True,ok
0,10,5970.0,392.0705594621968,380.3169375577209,387.3095159352684,392.38918473771633,23037.19265600003,0.20246172016573277,0.12482226890612377,triplet,True,ok
1,10,6150.0,398.2157739000459,390.25107747303093,395.28002548255097,401.70563122219903,24624.38631249999,0.18419770084095105,0.11356208436556785,triplet,True,ok
2,10,7350.0,382.7742806367742,380.5533532929617,388.0447912631565,394.2996684813951,23275.281960000022,0.228812993121316,0.14106842979119358,triplet,True,ok
3,10,8050.000000000001,397.0366918516474,390.38946430980127,391.37941391018484,398.61438618737486,50848.75926000002,0.06381173430665144,0.03934138983147437,triplet,True,ok
4,10,9300.0,376.67019161537394,373.08300579018146,377.61908550014596,385.7520544790499,50439.78300649996,0.09529896593857692,0.05875398639862942,triplet,True,ok
0,11,5970.0,420.42420987973566,419.1296854180006,437.2163682133952,437.9787706450807,27996.450264000014,0.28853140638973007,0.17788619382844023,triplet,True,ok
1,11,6150.0,428.0189118430545,,,,26820.88241250001,,,triplet,False,frac_shift=0.571 > 0.5 (FSR ref likely wrong)
2,11,7350.0,412.05755893685534,411.6209205093032,414.00361441339055,416.8462798140685,27872.86851999999,0.07765685815215552,0.047877224508110675,triplet,True,ok
3,11,8050.000000000001,397.0366918516474,390.38946430980127,391.37941391018484,398.61438618737486,50848.75926000002,0.06381173430665144,0.03934138983147437,triplet,True,ok
4,11,9300.0,438.54328892147294,420.5953675699262,433.7736244188069,441.36201963567424,49195.44137200003,0.1819271121103088,0.11216221461794623,triplet,True,ok
0,12,5970.0,452.4963718274435,440.70955464790063,446.6428492832044,453.33499570749996,50762.28160799996,0.11118202745824933,0.06854625613948787,triplet,True,ok
1,12,6150.0,458.280559600571,449.0858615539849,455.33771551973626,459.39199715561784,50640.923962500005,0.0924439689318822,0.05699381561768323,triplet,True,ok
2,12,7350.0,444.59453482583433,441.5840680650875,447.5872357384235,449.3974770744542,50850.86292799999,0.06845118087602294,0.042201714473503654,triplet,True,ok
3,12,8050.000000000001,456.6036508138103,453.8920680171371,456.2315640517194,460.22463395064335,50897.04868000001,0.056866797154830936,0.03505967765402647,triplet,True,ok
4,12,9300.0,438.54328892147294,420.5953675699262,433.7736244188069,441.36201963567424,49195.44137200003,0.1819271121103088,0.11216221461794623,triplet,True,ok
0,13,5970.0,505.4851611323521,499.60437310533166,505.82481826390676,516.8064312312769,51722.84879999998,0.1690196706260799,0.104204482506831,triplet,True,ok
1,13,6150.0,510.550678454463,498.1738667150639,510.91333537765684,519.1686909144862,51477.223875000054,0.20745998463211615,0.12790381296677936,triplet,True,ok
2,13,7350.0,498.5129520132852,492.7729033689151,494.0168344144892,500.2478500412387,52060.75412800003,0.07128956639776467,0.04395164389504603,triplet,True,ok
