Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.15904698,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
1.884840e+05,-7.985721e+01
1.885013e+05,-7.988639e+01
1.885187e+05,-7.989964e+01
1.885360e+05,-7.964987e+01
1.885533e+05,-7.929651e+01
1.885707e+05,-7.908824e+01
1.885880e+05,-7.895253e+01
1.886053e+05,-7.892971e+01
1.886227e+05,-7.894790e+01
1.886400e+05,-7.895092e+01
1.886573e+05,-7.893930e+01
1.886747e+05,-7.889981e+01
1.886920e+05,-7.887289e+01
1.887093e+05,-7.886263e+01
1.887267e+05,-7.890824e+01
1.887440e+05,-7.900069e+01
1.887613e+05,-7.900447e+01
1.887787e+05,-7.896449e+01
1.887960e+05,-7.891050e+01
1.888133e+05,-7.885262e+01
1.888307e+05,-7.886815e+01
1.888480e+05,-7.892422e+01
1.888653e+05,-7.901232e+01
1.888827e+05,-7.908105e+01
1.889000e+05,-7.906689e+01
1.889173e+05,-7.906141e+01
1.889347e+05,-7.910057e+01
1.889520e+05,-7.918748e+01
1.889693e+05,-7.932672e+01
1.889867e+05,-7.933476e+01
1.890040e+05,-7.922964e+01
1.890213e+05,-7.927441e+01
1.890387e+05,-7.939060e+01
1.890560e+05,-7.955233e+01
1.890733e+05,-7.974594e+01
1.890907e+05,-7.987403e+01
1.891080e+05,-7.992520e+01
1.891253e+05,-7.978981e+01
1.891427e+05,-7.958613e+01
1.891600e+05,-7.941076e+01
1.891773e+05,-7.936401e+01
1.891947e+05,-7.954370e+01
1.892120e+05,-7.971306e+01
1.892293e+05,-7.982511e+01
1.892467e+05,-7.980091e+01
1.892640e+05,-7.964593e+01
1.892813e+05,-7.958774e+01
1.892987e+05,-7.956685e+01
1.893160e+05,-7.957619e+01
1.893333e+05,-7.961088e+01
1.893507e+05,-7.963915e+01
1.893680e+05,-7.966599e+01
1.893853e+05,-7.967462e+01
1.894027e+05,-7.962765e+01
1.894200e+05,-7.946065e+01
1.894373e+05,-7.923888e+01
1.894547e+05,-7.899103e+01
1.894720e+05,-7.884567e+01
1.894893e+05,-7.885004e+01
1.895067e+05,-7.881386e+01
1.895240e+05,-7.873606e+01
1.895413e+05,-7.877746e+01
1.895587e+05,-7.890170e+01
1.895760e+05,-7.904856e+01
1.895933e+05,-7.923826e+01
1.896107e+05,-7.948294e+01
1.896280e+05,-7.971143e+01
1.896453e+05,-7.972626e+01
1.896627e+05,-7.969739e+01
1.896800e+05,-7.977851e+01
1.896973e+05,-7.983418e+01
1.897147e+05,-7.980279e+01
1.897320e+05,-7.974158e+01
1.897493e+05,-7.966115e+01
1.897667e+05,-7.959865e+01
1.897840e+05,-7.955686e+01
1.898013e+05,-7.967013e+01
1.898187e+05,-7.990022e+01
1.898360e+05,-7.994887e+01
1.898533e+05,-7.991565e+01
1.898707e+05,-7.984778e+01
1.898880e+05,-7.979111e+01
1.899053e+05,-7.995314e+01
1.899227e+05,-8.014614e+01
1.899400e+05,-8.016949e+01
1.899573e+05,-8.006288e+01
1.899747e+05,-7.978078e+01
1.899920e+05,-7.954855e+01
1.900093e+05,-7.946520e+01
1.900267e+05,-7.951662e+01
1.900440e+05,-7.970867e+01
1.900613e+05,-7.955818e+01
1.900787e+05,-7.914652e+01
1.900960e+05,-7.905362e+01
1.901133e+05,-7.910321e+01
1.901307e+05,-7.925665e+01
1.901480e+05,-7.946164e+01
1.901653e+05,-7.947034e+01
1.901827e+05,-7.938368e+01
1.902000e+05,-7.921938e+01
1.902173e+05,-7.905571e+01
1.902347e+05,-7.899081e+01
1.902520e+05,-7.902811e+01
1.902693e+05,-7.919614e+01
1.902867e+05,-7.935308e+01
1.903040e+05,-7.947580e+01
1.903213e+05,-7.961635e+01
1.903387e+05,-7.977072e+01
1.903560e+05,-7.967257e+01
1.903733e+05,-7.942573e+01
1.903907e+05,-7.926061e+01
1.904080e+05,-7.913913e+01
1.904253e+05,-7.923037e+01
1.904427e+05,-7.945669e+01
1.904600e+05,-7.978160e+01
1.904773e+05,-8.008019e+01
1.904947e+05,-8.017209e+01
1.905120e+05,-8.008709e+01
1.905293e+05,-7.978995e+01
1.905467e+05,-7.948734e+01
1.905640e+05,-7.922637e+01
1.905813e+05,-7.895282e+01
1.905987e+05,-7.866738e+01
1.906160e+05,-7.861271e+01
1.906333e+05,-7.871857e+01
1.906507e+05,-7.894141e+01
1.906680e+05,-7.922966e+01
1.906853e+05,-7.926016e+01
1.907027e+05,-7.918506e+01
1.907200e+05,-7.909783e+01
1.907373e+05,-7.902682e+01
1.907547e+05,-7.906681e+01
1.907720e+05,-7.911467e+01
1.907893e+05,-7.912324e+01
1.908067e+05,-7.916641e+01
1.908240e+05,-7.926001e+01
1.908413e+05,-7.931192e+01
1.908587e+05,-7.932194e+01
1.908760e+05,-7.942984e+01
1.908933e+05,-7.959268e+01
1.909107e+05,-7.959982e+01
1.909280e+05,-7.956285e+01
1.909453e+05,-7.973874e+01
1.909627e+05,-7.994768e+01
1.909800e+05,-7.992913e+01
1.909973e+05,-7.980772e+01
1.910147e+05,-7.962202e+01
1.910320e+05,-7.948176e+01
1.910493e+05,-7.949866e+01
1.910667e+05,-7.951412e+01
1.910840e+05,-7.948739e+01
1.911013e+05,-7.945511e+01
1.911187e+05,-7.941782e+01
1.911360e+05,-7.943928e+01
1.911533e+05,-7.949697e+01
1.911707e+05,-7.934045e+01
1.911880e+05,-7.908704e+01
1.912053e+05,-7.899841e+01
1.912227e+05,-7.893831e+01
1.912400e+05,-7.875674e+01
1.912573e+05,-7.853558e+01
1.912747e+05,-7.832022e+01
1.912920e+05,-7.821364e+01
1.913093e+05,-7.833853e+01
1.913267e+05,-7.855135e+01
1.913440e+05,-7.881187e+01
1.913613e+05,-7.909896e+01
1.913787e+05,-7.940714e+01
1.913960e+05,-7.928301e+01
1.914133e+05,-7.881007e+01
1.914307e+05,-7.865049e+01
1.914480e+05,-7.859030e+01
1.914653e+05,-7.849999e+01
1.914827e+05,-7.843562e+01
1.915000e+05,-7.844172e+01
1.915173e+05,-7.847211e+01
1.915347e+05,-7.846636e+01
1.915520e+05,-7.847759e+01
1.915693e+05,-7.853783e+01
1.915867e+05,-7.861238e+01
1.916040e+05,-7.869012e+01
1.916213e+05,-7.868803e+01
1.916387e+05,-7.858998e+01
1.916560e+05,-7.852748e+01
1.916733e+05,-7.848843e+01
1.916907e+05,-7.841629e+01
1.917080e+05,-7.833943e+01
1.917253e+05,-7.839551e+01
1.917427e+05,-7.847962e+01
1.917600e+05,-7.834051e+01
1.917773e+05,-7.818696e+01
1.917947e+05,-7.828671e+01
1.918120e+05,-7.840931e+01
1.918293e+05,-7.839823e+01
1.918467e+05,-7.831296e+01
1.918640e+05,-7.814547e+01
1.918813e+05,-7.794589e+01
1.918987e+05,-7.772549e+01
1.919160e+05,-7.759371e+01
1.919333e+05,-7.754416e+01
1.919507e+05,-7.742526e+01
1.919680e+05,-7.728210e+01
1.919853e+05,-7.719004e+01
1.920027e+05,-7.715905e+01
1.920200e+05,-7.735797e+01
1.920373e+05,-7.765361e+01
1.920547e+05,-7.785937e+01
1.920720e+05,-7.802560e+01
1.920893e+05,-7.811848e+01
1.921067e+05,-7.817207e+01
1.921240e+05,-7.820092e+01
1.921413e+05,-7.834913e+01
1.921587e+05,-7.866495e+01
1.921760e+05,-7.885493e+01
1.921933e+05,-7.891939e+01
1.922107e+05,-7.887584e+01
1.922280e+05,-7.873506e+01
1.922453e+05,-7.862270e+01
1.922627e+05,-7.849678e+01
1.922800e+05,-7.834942e+01
1.922973e+05,-7.819231e+01
1.923147e+05,-7.805125e+01
1.923320e+05,-7.797898e+01
1.923493e+05,-7.807684e+01
1.923667e+05,-7.821971e+01
1.923840e+05,-7.833658e+01
1.924013e+05,-7.845175e+01
1.924187e+05,-7.856060e+01
1.924360e+05,-7.848723e+01
1.924533e+05,-7.822195e+01
1.924707e+05,-7.809576e+01
1.924880e+05,-7.805064e+01
1.925053e+05,-7.813422e+01
1.925227e+05,-7.831372e+01
1.925400e+05,-7.849953e+01
1.925573e+05,-7.866653e+01
1.925747e+05,-7.863054e+01
1.925920e+05,-7.855495e+01
1.926093e+05,-7.860863e+01
1.926267e+05,-7.869512e+01
1.926440e+05,-7.878954e+01
1.926613e+05,-7.877357e+01
1.926787e+05,-7.858528e+01
1.926960e+05,-7.846222e+01
1.927133e+05,-7.842677e+01
1.927307e+05,-7.828623e+01
1.927480e+05,-7.806932e+01
1.927653e+05,-7.796108e+01
