Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.26250930,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
1.922973e+05,-7.861223e+01
1.923147e+05,-7.849413e+01
1.923320e+05,-7.836525e+01
1.923493e+05,-7.836538e+01
1.923667e+05,-7.842628e+01
1.923840e+05,-7.854126e+01
1.924013e+05,-7.850637e+01
1.924187e+05,-7.823999e+01
1.924360e+05,-7.814258e+01
1.924533e+05,-7.823278e+01
1.924707e+05,-7.839343e+01
1.924880e+05,-7.862529e+01
1.925053e+05,-7.862277e+01
1.925227e+05,-7.851131e+01
1.925400e+05,-7.847266e+01
1.925573e+05,-7.843656e+01
1.925747e+05,-7.837987e+01
1.925920e+05,-7.834640e+01
1.926093e+05,-7.839949e+01
1.926267e+05,-7.841453e+01
1.926440e+05,-7.829420e+01
1.926613e+05,-7.819138e+01
1.926787e+05,-7.815608e+01
1.926960e+05,-7.811292e+01
1.927133e+05,-7.805698e+01
1.927307e+05,-7.800339e+01
1.927480e+05,-7.795044e+01
1.927653e+05,-7.787637e+01
1.927827e+05,-7.779374e+01
1.928000e+05,-7.774977e+01
1.928173e+05,-7.775186e+01
1.928347e+05,-7.788740e+01
1.928520e+05,-7.811178e+01
1.928693e+05,-7.840071e+01
1.928867e+05,-7.863012e+01
1.929040e+05,-7.864901e+01
1.929213e+05,-7.859921e+01
1.929387e+05,-7.852026e+01
1.929560e+05,-7.840146e+01
1.929733e+05,-7.824500e+01
1.929907e+05,-7.826038e+01
1.930080e+05,-7.842349e+01
1.930253e+05,-7.851371e+01
1.930427e+05,-7.858076e+01
1.930600e+05,-7.849843e+01
1.930773e+05,-7.832799e+01
1.930947e+05,-7.814941e+01
1.931120e+05,-7.793915e+01
