Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-07,,,
Filter Frequency,2e+08,,,
Record Length,1.25e+06,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH4,CH4 Peak Detect
8.827520e-03,-1,-1,0.74,0.7
8.827680e-03,-1,-0.92,0.74,0.74
8.827840e-03,-1,-1.08,0.7,0.7
8.828000e-03,-0.92,-0.92,0.74,0.74
8.828160e-03,-1,-1,0.74,0.7
8.828320e-03,-0.92,-0.92,0.7,0.74
8.828480e-03,-0.92,-1,0.7,0.7
8.828640e-03,-1,-0.92,0.7,0.74
8.828800e-03,-0.92,-1,0.7,0.7
8.828960e-03,-1,-0.84,0.7,0.74
8.829120e-03,-0.92,-1,0.74,0.7
8.829280e-03,-1,-0.92,0.74,0.74
8.829440e-03,-1,-1,0.7,0.7
8.829600e-03,-1,-0.92,0.74,0.74
8.829760e-03,-1,-1,0.7,0.7
8.829920e-03,-1,-0.92,0.7,0.74
8.830080e-03,-1,-1,0.7,0.7
8.830240e-03,-1,-0.92,0.7,0.74
8.830400e-03,-1,-1,0.7,0.7
8.830560e-03,-1,-0.92,0.74,0.74
8.830720e-03,-1,-1,0.7,0.7
8.830880e-03,-0.92,-0.92,0.7,0.74
8.831040e-03,-1,-1,0.7,0.7
8.831200e-03,-1,-0.92,0.7,0.74
8.831360e-03,-1,-1,0.7,0.7
8.831520e-03,-0.92,-0.92,0.7,0.74
8.831680e-03,-1,-1,0.7,0.7
8.831840e-03,-1,-0.92,0.74,0.74
8.832000e-03,-1,-1,0.7,0.7
8.832160e-03,-1,-0.92,0.7,0.74
8.832320e-03,-1,-1,0.74,0.7
8.832480e-03,-1,-0.92,0.7,0.74
8.832640e-03,-0.92,-1,0.7,0.7
8.832800e-03,-0.92,-0.92,0.7,0.74
8.832960e-03,-1,-1,0.74,0.7
8.833120e-03,-1,-0.92,0.7,0.74
8.833280e-03,-1,-1,0.74,0.7
8.833440e-03,-0.92,-0.92,0.7,0.74
8.833600e-03,-1,-1,0.74,0.7
8.833760e-03,-1,-0.92,0.74,0.74
8.833920e-03,-0.92,-1,0.7,0.7
8.834080e-03,-1,-0.92,0.74,0.74
8.834240e-03,-1,-1,0.74,0.7
8.834400e-03,-1,-0.92,0.7,0.74
8.834560e-03,-1,-1,0.7,0.7
8.834720e-03,-1,-0.92,0.74,0.74
8.834880e-03,-1,-1,0.74,0.7
8.835040e-03,-1,-0.92,0.7,0.74
8.835200e-03,-1,-1,0.74,0.7
8.835360e-03,-1,-0.92,0.74,0.74
8.835520e-03,-1,-1.08,0.7,0.7
8.835680e-03,-1,-0.92,0.7,0.74
8.835840e-03,-1,-1.08,0.7,0.7
8.836000e-03,-1,-0.92,0.7,0.74
8.836160e-03,-1,-1,0.74,0.7
8.836320e-03,-1,-0.92,0.7,0.74
8.836480e-03,-1,-1.08,0.7,0.7
8.836640e-03,-1,-0.92,0.7,0.74
8.836800e-03,-1,-1,0.7,0.7
8.836960e-03,-1,-0.92,0.7,0.74
8.837120e-03,-1,-1,0.7,0.7
8.837280e-03,-1,-0.92,0.7,0.74
