vdc_idx,ring_idx,B_g,r_pi,mu_sigma_left,mu_sigma_right,fsr_local,frac_shift,delta_wn_cm_inv,success,note
2,16,2970.0,678.7379884611679,665.1675213397414,678.8682094886254,58047.189090000174,0.15861417837551361,0.09778925917109346,True,ok
2,17,2970.0,720.2308283254144,712.4574228914269,724.4573979643724,51477.59615250002,0.16748006240553764,0.10325527891833393,True,ok
2,18,2970.0,755.1225345748944,748.3209985562615,756.8148839314563,56896.009657499846,0.11234928193473162,0.06926589515088262,True,ok
2,19,2970.0,791.9002790000219,774.6672189987936,786.5722608887854,50255.71856249997,0.18492046218835284,0.11400768322339878,True,ok
2,20,2970.0,823.0199088982067,814.884551495904,824.2795803451793,55418.01798750006,0.1389439289476013,0.08566210169395887,True,ok
2,21,2970.0,839.9942524790349,838.5878902142688,853.333521237066,79763.97343249992,0.15638920542207055,0.09641751259067234,True,ok
2,22,2970.0,856.0255769720392,850.4241038561871,857.5834462434426,52574.52919999999,0.11629405947377083,0.07169794048937782,True,ok
2,23,2970.0,886.2021877824002,880.7797663804048,887.5303833478392,53531.844502500026,0.11149610676953711,0.06873989319946801,True,ok
2,24,2970.0,910.7206840658187,905.5866311215156,919.460982103868,56763.061549999984,0.22304426905417307,0.13751187981145072,True,ok
2,25,2970.0,915.9072890488494,905.8581269444148,919.2411139424612,47289.06380250014,0.2582550535673949,0.1592201316691707,True,ok
3,0,4019.9999999999995,54.45935232182348,50.11624428299693,61.46390975130814,4933.75318,0.12831755204299955,0.07911069793033264,True,ok
3,1,4019.9999999999995,60.58897639267807,57.45792832627013,62.058245805523384,4228.550175,0.06501192159934176,0.04008133267530318,True,ok
3,2,4019.9999999999995,70.01916727091591,61.10140764969005,74.00839989336906,25450.892057499997,0.034259334290982886,0.021121661091851346,True,ok
3,3,4019.9999999999995,88.87954902739156,73.26820545645842,83.14770079882993,22454.001607500002,0.03441057510225219,0.02121490450200505,True,ok
3,4,4019.9999999999995,174.22277647544394,187.03454785935548,191.45829436178855,52507.83282500002,0.015943872531857174,0.009829761117051278,True,ok
3,5,4019.9999999999995,287.85657655820984,270.96887042874994,305.6398112507094,52572.30598749999,0.19013399835162206,0.11722194719582124,True,ok
3,6,4019.9999999999995,368.0131990232314,350.4135692600424,385.7612729513714,52943.58247500003,0.24575301642826658,0.15151234058462798,True,ok
3,7,4019.9999999999995,434.02453517089623,416.39594948385667,451.74365317518567,52779.50939249998,0.2907069598667068,0.1792274721742952,True,ok
3,8,4019.9999999999995,491.0771899842351,501.1593776074808,508.6328185272669,53118.771620000014,0.07103536178378725,0.04379492095178005,True,ok
3,9,4019.9999999999995,542.4717302706313,551.3102233572362,558.6039482428738,53935.579892499954,0.07504701562917027,0.04626819705867464,True,ok
3,10,4019.9999999999995,590.0941942057323,601.6670760541331,607.1475226994236,56069.41925000009,0.059077158289963176,0.036422415715143756,True,ok
3,11,4019.9999999999995,635.8306199651859,618.1135118823789,652.4656822147851,55125.443222500035,0.3958893602022061,0.24407482133304936,True,ok
3,12,4019.9999999999995,677.7949693733442,660.0594535960853,692.3361561662454,56613.21702749992,0.3855183749078022,0.237680872322936,True,ok
